model,geometry_index,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,416,log_life_lt_3,3.0,5,0.17330901324748993,0.19667677581310272,0.17330901324748993
MATCH_250K,416,log_life_lt_4,4.0,12,0.12179911881685257,0.1479206681251526,0.0782519280910492
MATCH_250K,416,log_life_lt_5,5.0,122,0.023240121081471443,0.04977630823850632,0.001868614461272955
MATCH_250K,416,log_life_lt_6,6.0,279,0.02086569368839264,0.054560258984565735,-0.0016395221464335918
MATCH_250K,977,all,all,679,0.023683255538344383,0.05713566765189171,0.008564054034650326
MATCH_250K,977,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,977,log_life_lt_3,3.0,9,0.21501868963241577,0.2641453444957733,0.03431510925292969
MATCH_250K,977,log_life_lt_4,4.0,16,0.23232853412628174,0.2769339978694916,0.05924859642982483
MATCH_250K,977,log_life_lt_5,5.0,115,0.04578838497400284,0.10714895278215408,0.0031194209586828947
MATCH_250K,977,log_life_lt_6,6.0,274,0.03164636343717575,0.08138090372085571,0.0036788848228752613
MATCH_250K,2417,all,all,679,0.026147913187742233,0.0722426325082779,0.0011008414439857006
MATCH_250K,2417,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,2417,log_life_lt_3,3.0,4,0.22316604852676392,0.2543206810951233,-0.2067984938621521
MATCH_250K,2417,log_life_lt_4,4.0,13,0.16608597338199615,0.21030984818935394,-0.04642508551478386
MATCH_250K,2417,log_life_lt_5,5.0,78,0.05503043159842491,0.12081795185804367,-0.014444644562900066
MATCH_250K,2417,log_life_lt_6,6.0,252,0.03703346848487854,0.10677828639745712,-0.00617991155013442
MATCH_250K,505,all,all,679,0.031584348529577255,0.07280631363391876,0.004166242200881243
MATCH_250K,505,log_life_lt_2,2.0,1,0.4723597764968872,0.4723597764968872,0.4723597764968872
MATCH_250K,505,log_life_lt_3,3.0,6,0.46658337116241455,0.5142889022827148,0.356527715921402
MATCH_250K,505,log_life_lt_4,4.0,15,0.26680609583854675,0.35511672496795654,0.16058197617530823
MATCH_250K,505,log_life_lt_5,5.0,128,0.059862345457077026,0.1399543285369873,0.025359168648719788
MATCH_250K,505,log_life_lt_6,6.0,256,0.044519759714603424,0.10902620106935501,0.016143472865223885
MATCH_250K,4152,all,all,679,0.018214598298072815,0.05115257576107979,0.0033306058030575514
MATCH_250K,4152,log_life_lt_2,2.0,2,0.3368450999259949,0.33687084913253784,0.3368450999259949
MATCH_250K,4152,log_life_lt_3,3.0,5,0.3172749876976013,0.3321784436702728,0.3172749876976013
MATCH_250K,4152,log_life_lt_4,4.0,17,0.15478678047657013,0.19840584695339203,0.1529039740562439
MATCH_250K,4152,log_life_lt_5,5.0,113,0.03407572954893112,0.08181757479906082,0.02658446878194809
MATCH_250K,4152,log_life_lt_6,6.0,254,0.02288145385682583,0.062176574021577835,0.014073281548917294
MATCH_250K,4255,all,all,679,0.02147970162332058,0.05997078865766525,-0.0017255607526749372
MATCH_250K,4255,log_life_lt_2,2.0,2,0.34934788942337036,0.35830026865005493,0.34934788942337036
MATCH_250K,4255,log_life_lt_3,3.0,4,0.3380121886730194,0.36893710494041443,0.3380121886730194
MATCH_250K,4255,log_life_lt_4,4.0,8,0.2716306447982788,0.31125760078430176,0.17926739156246185
MATCH_250K,4255,log_life_lt_5,5.0,61,0.060715340077877045,0.12517008185386658,0.029066888615489006
MATCH_250K,4255,log_life_lt_6,6.0,253,0.027718104422092438,0.07392733544111252,-2.505044176359661e-05
MATCH_250K,3941,all,all,679,0.017870746552944183,0.04042625427246094,0.0008839121437631547
MATCH_250K,3941,log_life_lt_2,2.0,3,0.18046943843364716,0.19563286006450653,0.18046943843364716
MATCH_250K,3941,log_life_lt_3,3.0,4,0.17134875059127808,0.18408477306365967,0.17134875059127808
MATCH_250K,3941,log_life_lt_4,4.0,12,0.12285017967224121,0.13922294974327087,0.02601170539855957
MATCH_250K,3941,log_life_lt_5,5.0,137,0.02785314805805683,0.05868907272815704,-0.0008867326541803777
MATCH_250K,3941,log_life_lt_6,6.0,284,0.021804137155413628,0.049841850996017456,-0.0005045155412517488
MATCH_250K,414,all,all,679,0.020582109689712524,0.049566831439733505,0.001044383505359292
MATCH_250K,414,log_life_lt_2,2.0,1,0.22915899753570557,0.22915899753570557,0.22915899753570557
MATCH_250K,414,log_life_lt_3,3.0,4,0.22817733883857727,0.25022092461586,0.22817733883857727
MATCH_250K,414,log_life_lt_4,4.0,15,0.15657447278499603,0.18383421003818512,0.008728274144232273
MATCH_250K,414,log_life_lt_5,5.0,75,0.056752320379018784,0.10366322845220566,0.003556072013452649
MATCH_250K,414,log_life_lt_6,6.0,251,0.029120195657014847,0.06691146641969681,-0.005403047893196344
MATCH_250K,4148,all,all,679,0.019536277279257774,0.04831328243017197,0.003893115557730198
MATCH_250K,4148,log_life_lt_2,2.0,2,0.36292290687561035,0.36308804154396057,0.36292290687561035
MATCH_250K,4148,log_life_lt_3,3.0,5,0.3011389374732971,0.3202650249004364,0.3011389374732971
MATCH_250K,4148,log_life_lt_4,4.0,13,0.19817492365837097,0.2513495087623596,0.08270696550607681
MATCH_250K,4148,log_life_lt_5,5.0,93,0.04303550720214844,0.09890870749950409,0.01738368347287178
MATCH_250K,4148,log_life_lt_6,6.0,254,0.026431044563651085,0.06694967299699783,0.009423309937119484
MATCH_250K,1183,all,all,679,0.028347453102469444,0.07947169244289398,-0.0052175577729940414
MATCH_250K,1183,log_life_lt_2,2.0,2,0.22215121984481812,0.23496979475021362,-0.07654827833175659
MATCH_250K,1183,log_life_lt_3,3.0,5,0.40975427627563477,0.4438589811325073,-0.09834267944097519
MATCH_250K,1183,log_life_lt_4,4.0,34,0.11877166479825974,0.20430786907672882,-0.007909560576081276
MATCH_250K,1183,log_life_lt_5,5.0,167,0.035476405173540115,0.09614540636539459,-0.0014935160288587213
MATCH_250K,1183,log_life_lt_6,6.0,295,0.026605501770973206,0.07479395717382431,-1.8313376131118275e-05
MATCH_250K,485,all,all,679,0.020631156861782074,0.048704568296670914,0.0001002690551104024
MATCH_250K,485,log_life_lt_2,2.0,3,0.22287960350513458,0.22698216140270233,0.22287960350513458
MATCH_250K,485,log_life_lt_3,3.0,4,0.22164687514305115,0.2247578352689743,0.11267253756523132
MATCH_250K,485,log_life_lt_4,4.0,15,0.12863695621490479,0.15305154025554657,0.06422178447246552
MATCH_250K,485,log_life_lt_5,5.0,141,0.031619150191545486,0.07150790840387344,0.007075833156704903
MATCH_250K,485,log_life_lt_6,6.0,270,0.026020890101790428,0.06127920001745224,-0.0007579419179819524
MATCH_250K,893,all,all,679,0.018948141485452652,0.0481879748404026,0.005527184810489416
MATCH_250K,893,log_life_lt_2,2.0,2,0.2915955185890198,0.29677098989486694,0.2915955185890198
MATCH_250K,893,log_life_lt_3,3.0,4,0.3308123052120209,0.3394688367843628,0.3308123052120209
MATCH_250K,893,log_life_lt_4,4.0,14,0.17983245849609375,0.22379766404628754,0.1270967274904251
MATCH_250K,893,log_life_lt_5,5.0,76,0.05806496739387512,0.11322880536317825,0.04204927757382393
MATCH_250K,893,log_life_lt_6,6.0,246,0.02931712195277214,0.06952570378780365,0.018204737454652786
MATCH_250K,805,all,all,679,0.018532101064920425,0.04990995675325394,0.0020054217893630266
MATCH_250K,805,log_life_lt_2,2.0,2,0.46542322635650635,0.4668746888637543,0.46542322635650635
MATCH_250K,805,log_life_lt_3,3.0,5,0.28410688042640686,0.32974132895469666,0.19273582100868225
MATCH_250K,805,log_life_lt_4,4.0,16,0.1417805403470993,0.1999330222606659,0.0343804806470871
MATCH_250K,805,log_life_lt_5,5.0,137,0.028830636292696,0.07323647290468216,0.0010949921561405063
MATCH_250K,805,log_life_lt_6,6.0,290,0.023674756288528442,0.05829950422048569,0.005048985127359629
MATCH_250K,555,all,all,679,0.021710745990276337,0.06681272387504578,-0.0042446088045835495
MATCH_250K,555,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,555,log_life_lt_3,3.0,4,0.19441914558410645,0.21562489867210388,-0.19441914558410645
MATCH_250K,555,log_life_lt_4,4.0,14,0.14200446009635925,0.18484950065612793,-0.03617405891418457
MATCH_250K,555,log_life_lt_5,5.0,111,0.043690551072359085,0.11365114897489548,-0.012553771026432514
MATCH_250K,555,log_life_lt_6,6.0,256,0.031351879239082336,0.09210816770792007,-0.003750874660909176
MATCH_250K,3825,all,all,679,0.01813897304236889,0.04319386184215546,-0.0013131715822964907
MATCH_250K,3825,log_life_lt_2,2.0,2,0.25864672660827637,0.258752703666687,0.25864672660827637
MATCH_250K,3825,log_life_lt_3,3.0,4,0.21837890148162842,0.2301485389471054,0.08671998977661133
MATCH_250K,3825,log_life_lt_4,4.0,10,0.12817998230457306,0.1578628271818161,0.07389726489782333
MATCH_250K,3825,log_life_lt_5,5.0,87,0.034255146980285645,0.072459377348423,-0.004613860044628382
MATCH_250K,3825,log_life_lt_6,6.0,256,0.022161656990647316,0.054610513150691986,-0.0006070472300052643
